id;competency_id;competency_name;description
1;25973;flexibility mound;../fake-data/blob/hipster.txt
2;30281;than intensely staid;../fake-data/blob/hipster.txt
3;4443;whenever gleeful;../fake-data/blob/hipster.txt
4;26616;above;../fake-data/blob/hipster.txt
5;25635;aw attenuate vain;../fake-data/blob/hipster.txt
6;10374;deceivingly unabashedly;../fake-data/blob/hipster.txt
7;14928;worth;../fake-data/blob/hipster.txt
8;22653;wherever;../fake-data/blob/hipster.txt
9;2452;yippee whereas highly;../fake-data/blob/hipster.txt
10;27982;essential;../fake-data/blob/hipster.txt
