id;training_id;training_name;description;start_date;end_date
1;2446;searchingly hence furthermore;../fake-data/blob/hipster.txt;2024-05-19;2024-05-18
2;15321;yahoo;../fake-data/blob/hipster.txt;2024-05-18;2024-05-18
3;3937;pfft defiantly;../fake-data/blob/hipster.txt;2024-05-19;2024-05-18
4;31928;high per;../fake-data/blob/hipster.txt;2024-05-19;2024-05-19
5;14095;aw;../fake-data/blob/hipster.txt;2024-05-18;2024-05-19
6;11242;confused extremely anti;../fake-data/blob/hipster.txt;2024-05-18;2024-05-18
7;1348;including because;../fake-data/blob/hipster.txt;2024-05-18;2024-05-19
8;18712;diction;../fake-data/blob/hipster.txt;2024-05-18;2024-05-18
9;22982;thud academic;../fake-data/blob/hipster.txt;2024-05-18;2024-05-19
10;29522;knot;../fake-data/blob/hipster.txt;2024-05-18;2024-05-18
